,id,fecha,nom_estac,clave_de_estacion,clave_parametro,nombre_de_parametro,unidades_parametros,valor,id_unidad,clave_de_unidad,nombre_de_unidad,alt,obs_estac,id_station,latitud,longitud,coordenadas
11201,400681,2020-03-19T04:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,2.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11202,400689,2020-03-19T04:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,20.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11203,400705,2020-03-19T04:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.0,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11204,400805,2020-03-19T06:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11205,400842,2020-03-19T06:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.3,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11206,400861,2020-03-19T07:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,25.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11207,400873,2020-03-19T07:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11208,400908,2020-03-19T07:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.7,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11209,400917,2020-03-19T08:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,146.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11210,400926,2020-03-19T08:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,27.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11211,400936,2020-03-19T08:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,1.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11212,400963,2020-03-19T08:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,34.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11213,400977,2020-03-19T08:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,1.4,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11214,400986,2020-03-19T09:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,76.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11215,401006,2020-03-19T09:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,5.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11216,401024,2020-03-19T09:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,55.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11217,401040,2020-03-19T09:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,1.1,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
